league,date,game,actual,line,postPrediction,edge,overProbability,underProbability,evOver,evUnder,decisionSide,decisionReason,actualSide,correct,profit,draftDelta,draftConfidence,draftSignal,draftSignalReason,topPickEffects
LCK,2026-04-15,KT Rolster vs Dplus KIA,48,25.5,25.4,-0.1,0.4951,0.5049,-0.1088,-0.0912,,EV baixo,over,,0,-0.27,0.627,neutral,under bloqueado,JUNGLE Lee Sin +2.2 | SUP Seraphine -1.71 | JUNGLE Xin Zhao -1.47 | ADC Ashe -1.47 | TOP Yorick -0.58
LCK,2026-04-15,KT Rolster vs Dplus KIA,30,28.5,28.09,-0.41,0.4812,0.5188,-0.1338,-0.0662,,EV baixo,over,,0,-0.08,0.405,neutral,confiança baixa,SUP Lulu -1.01 | ADC Yunara -0.97 | MID Ahri +0.52 | JUNGLE Trundle +0.44 | JUNGLE Ambessa +0.18
LCK,2026-04-16,HANJIN BRION vs Gen.G,25,27.5,27.31,-0.19,0.4913,0.5087,-0.1157,-0.0843,,EV baixo,under,,0,-0.18,0.704,neutral,under bloqueado,JUNGLE Xin Zhao -1.53 | JUNGLE Jarvan IV -1.28 | ADC Ezreal -1.27 | MID Azir +0.9 | TOP Sion +0.83
LCK,2026-04-16,Gen.G vs HANJIN BRION,31,26.5,26.61,0.11,0.5052,0.4948,-0.0906,-0.1094,,EV baixo,over,,0,-0.19,0.671,neutral,under bloqueado,JUNGLE Pantheon -1.48 | JUNGLE Nocturne +1.15 | SUP Alistar +1.14 | SUP Lulu -0.81 | ADC Yunara -0.77
LCK,2026-04-16,DN SOOPers vs Hanwha Life Esports,28,27.5,28.02,0.52,0.5248,0.4752,-0.0554,-0.1446,,EV baixo,over,,0,0.3,0.643,neutral,delta fraco,JUNGLE Vi +1.82 | ADC Varus +1.7 | JUNGLE Xin Zhao -1.51 | TOP Anivia +0.72 | SUP Bard -0.65
LCK,2026-04-16,Hanwha Life Esports vs DN SOOPers,35,27.5,26.8,-0.7,0.4663,0.5337,-0.1606,-0.0394,,EV baixo,over,,0,-0.47,0.643,neutral,under bloqueado,JUNGLE Pantheon -1.36 | SUP Seraphine -1.31 | JUNGLE Jarvan IV -1.2 | ADC Ashe -0.98 | MID Azir +0.85
LCK,2026-04-17,BNK FearX vs Kiwoom DRX,21,28.5,28.3,-0.2,0.4902,0.5098,-0.1177,-0.0823,,EV baixo,under,,0,-0.22,0.745,neutral,under bloqueado,JUNGLE Xin Zhao -1.69 | JUNGLE Vi +1.51 | ADC Ezreal -1.44 | ADC Yunara -0.92 | SUP Bard -0.86
LCK,2026-04-17,BNK FearX vs Kiwoom DRX,29,28.5,28.06,-0.44,0.4785,0.5215,-0.1386,-0.0614,,EV baixo,over,,0,-0.19,0.612,neutral,under bloqueado,ADC Kalista +1.44 | SUP Karma -1.27 | MID Mel -1.23 | JUNGLE Pantheon -0.99 | MID Annie +0.29
LCK,2026-04-17,T1 vs Dplus KIA,19,28.5,28.05,-0.45,0.4782,0.5218,-0.1392,-0.0608,,EV baixo,under,,0,-0.48,0.709,neutral,under bloqueado,JUNGLE Xin Zhao -1.55 | ADC Ezreal -1.29 | SUP Karma -1.18 | JUNGLE Pantheon -0.96 | TOP Ambessa +0.77
LCK,2026-04-17,Dplus KIA vs T1,19,27.5,27.66,0.16,0.5079,0.4921,-0.0858,-0.1142,,EV baixo,under,,0,0.43,0.64,neutral,delta fraco,JUNGLE Vi +1.62 | JUNGLE Nocturne +1.55 | MID Azir +1.15 | ADC Caitlyn +0.35 | SUP Lulu -0.25
LCK,2026-04-17,T1 vs Dplus KIA,44,26.5,27.25,0.75,0.5361,0.4639,-0.035,-0.165,,EV baixo,over,,0,0.57,0.638,over,edge valido,JUNGLE Lee Sin +2.8 | SUP Pyke +1.32 | ADC Mel +1.06 | MID Annie +1.02 | TOP Gnar +0.6
LCK,2026-04-18,Gen.G vs Hanwha Life Esports,32,29.5,28.85,-0.65,0.4692,0.5308,-0.1554,-0.0446,,EV baixo,over,,0,-0.41,0.725,neutral,under bloqueado,JUNGLE Xin Zhao -1.72 | MID Aurora +0.79 | SUP Bard -0.7 | TOP Jayce -0.52 | JUNGLE Jarvan IV -0.35
LCK,2026-04-18,Hanwha Life Esports vs Gen.G,36,30.5,29.69,-0.81,0.4615,0.5385,-0.1694,-0.0306,,EV baixo,over,,0,-0.5,0.667,neutral,under bloqueado,JUNGLE Pantheon -1.31 | SUP Lulu -1.03 | TOP Rumble -1 | SUP Seraphine -0.96 | ADC Yunara -0.87
LCK,2026-04-18,DN SOOPers vs KT Rolster,13,30.5,30.07,-0.43,0.4794,0.5206,-0.1371,-0.0629,,EV baixo,under,,0,-0.59,0.742,neutral,under bloqueado,ADC Ezreal -1.9 | SUP Karma -1.83 | JUNGLE Pantheon -1.34 | SUP Seraphine -0.87 | JUNGLE Jarvan IV -0.72
LCK,2026-04-18,KT Rolster vs DN SOOPers,24,28.5,28.41,-0.09,0.4958,0.5042,-0.1075,-0.0925,,EV baixo,under,,0,0.17,0.724,neutral,delta fraco,JUNGLE Vi +1.38 | JUNGLE Nocturne +1 | TOP Zaahen +0.78 | MID Orianna -0.75 | TOP KSante -0.66
LCK,2026-04-19,HANJIN BRION vs Nongshim RedForce,34,28.5,28.86,0.36,0.5167,0.4833,-0.0699,-0.1301,,EV baixo,over,,0,-0.06,0.747,neutral,under bloqueado,ADC Ezreal -1.45 | MID Aurora +1.19 | JUNGLE Xin Zhao -1.17 | TOP Sion +0.96 | JUNGLE Nocturne +0.92
LCK,2026-04-19,Nongshim RedForce vs HANJIN BRION,26,28.5,28.6,0.1,0.5045,0.4955,-0.0919,-0.1081,,EV baixo,under,,0,-0.16,0.709,neutral,under bloqueado,JUNGLE Lee Sin +2.8 | SUP Karma -2.13 | TOP KSante -0.85 | JUNGLE Poppy -0.73 | MID Ryze -0.7
LCK,2026-04-19,HANJIN BRION vs Nongshim RedForce,32,28.5,28.5,0,0.4999,0.5001,-0.1002,-0.0998,,EV baixo,over,,0,0.27,0.624,neutral,delta fraco,ADC Ziggs +1.78 | JUNGLE Vi +1.19 | TOP Ambessa +0.89 | SUP Seraphine -0.87 | SUP Leona -0.81
LCK,2026-04-19,T1 vs Kiwoom DRX,29,27.5,27.23,-0.27,0.4872,0.5128,-0.123,-0.077,,EV baixo,over,,0,-0.54,0.722,neutral,under bloqueado,ADC Ezreal -1.56 | JUNGLE Xin Zhao -1.28 | TOP KSante -0.97 | MID Ryze -0.81 | JUNGLE Jarvan IV -0.52
LCK,2026-04-19,T1 vs Kiwoom DRX,28,27.5,27.58,0.08,0.5041,0.4959,-0.0926,-0.1074,,EV baixo,over,,0,-0.28,0.741,neutral,under bloqueado,JUNGLE Pantheon -1.28 | JUNGLE Vi +1.11 | MID Orianna -1 | SUP Seraphine -0.86 | TOP Renekton -0.75
LCK,2026-04-22,Kiwoom DRX vs KT Rolster,41,27.5,27.55,0.05,0.5023,0.4977,-0.0959,-0.1041,,EV baixo,over,,0,-0.23,0.75,neutral,under bloqueado,ADC Ezreal -1.5 | JUNGLE Xin Zhao -1.23 | JUNGLE Pantheon -1.23 | MID Aurora +1.12 | TOP Sion +1
LCK,2026-04-22,Kiwoom DRX vs KT Rolster,26,28.5,28.66,0.16,0.5075,0.4925,-0.0865,-0.1135,,EV baixo,under,,0,-0.27,0.701,neutral,under bloqueado,MID Orianna -1.38 | SUP Seraphine -1.25 | ADC Ashe -0.96 | SUP Nautilus +0.78 | JUNGLE Nocturne +0.46
LCK,2026-04-22,Hanwha Life Esports vs Nongshim RedForce,21,29.5,29.3,-0.2,0.4901,0.5099,-0.1178,-0.0822,,EV baixo,under,,0,-0.53,0.752,neutral,under bloqueado,SUP Karma -2.46 | MID Aurora +1.28 | JUNGLE Pantheon -1.18 | MID Ryze -1.12 | JUNGLE Jarvan IV -0.87
LCK,2026-04-22,Hanwha Life Esports vs Nongshim RedForce,37,28.5,28.88,0.38,0.5186,0.4814,-0.0666,-0.1334,,EV baixo,over,,0,0,0.689,neutral,under bloqueado,ADC Sivir +1.23 | JUNGLE Poppy -0.89 | JUNGLE Xin Zhao -0.87 | SUP Bard -0.67 | TOP Anivia +0.64
LCK,2026-04-22,Nongshim RedForce vs Hanwha Life Esports,35,30.5,30.24,-0.26,0.4874,0.5126,-0.1227,-0.0773,,EV baixo,over,,0,0.02,0.679,neutral,delta fraco,SUP Lulu -0.72 | ADC Yunara -0.68 | ADC Xayah +0.66 | TOP Ambessa +0.57 | MID Akali -0.49
LCK,2026-04-23,HANJIN BRION vs Dplus KIA,23,30.5,30.27,-0.23,0.4888,0.5112,-0.1202,-0.0798,,EV baixo,under,,0,0.14,0.751,neutral,delta fraco,JUNGLE Lee Sin +2.71 | ADC Ezreal -1.69 | JUNGLE Pantheon -1.61 | SUP Bard -0.95 | TOP Anivia +0.91
LCK,2026-04-23,Dplus KIA vs HANJIN BRION,27,28.5,28.61,0.11,0.5053,0.4947,-0.0905,-0.1095,,EV baixo,under,,0,-0.14,0.688,neutral,under bloqueado,JUNGLE Jarvan IV -1.01 | MID Ahri +0.76 | MID Yone +0.56 | ADC Yunara -0.48 | SUP Lulu -0.48
LCK,2026-04-23,DN SOOPers vs Gen.G,28,28.5,28.49,-0.01,0.4993,0.5007,-0.1013,-0.0987,,EV baixo,under,,0,-0.14,0.775,neutral,under bloqueado,ADC Ziggs +1.66 | SUP Seraphine -1.07 | JUNGLE Jarvan IV -0.94 | TOP Renekton -0.89 | JUNGLE Xin Zhao -0.85
LCK,2026-04-23,Gen.G vs DN SOOPers,22,27.5,27.8,0.3,0.5148,0.4852,-0.0733,-0.1267,,EV baixo,under,,0,-0.1,0.635,neutral,under bloqueado,ADC Lucian -1.16 | MID Annie +0.45 | SUP Milio -0.45 | SUP Lulu -0.42 | ADC Yunara -0.4
LCK,2026-04-24,BNK FearX vs KT Rolster,36,28.5,27.97,-0.53,0.4734,0.5266,-0.1479,-0.0521,,EV baixo,over,,0,-0.63,0.75,neutral,under bloqueado,SUP Karma -2.46 | MID Ryze -0.91 | TOP KSante -0.85 | TOP Renekton -0.62 | ADC Caitlyn -0.57
LCK,2026-04-24,BNK FearX vs KT Rolster,38,29.5,30.31,0.81,0.5401,0.4599,-0.0278,-0.1722,,EV baixo,over,,0,0.64,0.751,over,edge valido,JUNGLE Lee Sin +2.65 | MID Hwei +1.82 | ADC Ezreal -1.48 | TOP Sion +1.47 | ADC Sivir +1.44
LCK,2026-04-24,Kiwoom DRX vs Hanwha Life Esports,32,30.5,29.36,-1.14,0.4435,0.5565,-0.2017,0.0017,,EV baixo,over,,0,-1.06,0.79,neutral,under bloqueado,JUNGLE Pantheon -1.74 | MID Ryze -1.35 | JUNGLE Xin Zhao -1.01 | ADC Yunara -0.93 | SUP Bard -0.91
LCK,2026-04-24,Hanwha Life Esports vs Kiwoom DRX,23,30.5,29.99,-0.51,0.4745,0.5255,-0.1459,-0.0541,,EV baixo,under,,0,-0.59,0.677,neutral,under bloqueado,SUP Karma -2.6 | ADC Miss Fortune -1.59 | MID Mel -1.44 | ADC Jhin -0.77 | TOP Ambessa +0.5
LCK,2026-04-25,HANJIN BRION vs T1,45,28.5,28.53,0.03,0.5014,0.4986,-0.0974,-0.1026,,EV baixo,over,,0,-0.34,0.761,neutral,under bloqueado,ADC Ezreal -1.4 | TOP Renekton -0.73 | JUNGLE Xin Zhao -0.72 | ADC Jhin -0.71 | JUNGLE Nocturne +0.57
LCK,2026-04-25,T1 vs HANJIN BRION,37,30.5,30.17,-0.33,0.4838,0.5162,-0.1292,-0.0708,,EV baixo,over,,0,-0.43,0.691,neutral,under bloqueado,ADC Miss Fortune -2.08 | JUNGLE Jarvan IV -1.53 | TOP Sion +1.24 | ADC Caitlyn -1.13 | SUP Leona -0.84
LCK,2026-04-25,Dplus KIA vs DN SOOPers,21,30.5,29.83,-0.67,0.4673,0.5327,-0.1589,-0.0411,,EV baixo,under,,0,-0.52,0.688,neutral,under bloqueado,SUP Karma -2.8 | JUNGLE Pantheon -2.33 | JUNGLE Lee Sin +2.16 | MID Orianna -2.04 | ADC Sivir +1.2
LCK,2026-04-25,Dplus KIA vs DN SOOPers,27,28.5,28.06,-0.44,0.4783,0.5217,-0.1391,-0.0609,,EV baixo,under,,0,-0.78,0.779,neutral,under bloqueado,ADC Ezreal -1.48 | TOP KSante -1.38 | SUP Lulu -1.28 | ADC Yunara -1.14 | JUNGLE Xin Zhao -0.84
LCK,2026-04-26,BNK FearX vs T1,28,30.5,30.05,-0.45,0.4779,0.5221,-0.1398,-0.0602,,EV baixo,under,,0,-0.38,0.782,neutral,under bloqueado,MID Orianna -1.87 | ADC Ezreal -1.37 | SUP Alistar +0.99 | JUNGLE Nocturne +0.78 | JUNGLE Xin Zhao -0.74
LCK,2026-04-26,BNK FearX vs T1,52,30.5,29.84,-0.66,0.467,0.533,-0.1594,-0.0406,,EV baixo,over,,0,-0.42,0.74,neutral,under bloqueado,TOP KSante -1.22 | SUP Lulu -1.11 | ADC Yunara -0.96 | SUP Lux -0.92 | JUNGLE Vi +0.74
LCK,2026-04-26,Nongshim RedForce vs Gen.G,32,31.5,30.16,-1.34,0.4362,0.5638,-0.2148,0.0148,,EV baixo,over,,0,-1.02,0.816,neutral,under bloqueado,JUNGLE Jarvan IV -1.89 | SUP Bard -1.73 | TOP Jayce -1.45 | ADC Jhin -1.37 | ADC Yunara -1.29
LCK,2026-04-26,Nongshim RedForce vs Gen.G,22,31.5,30.81,-0.69,0.4668,0.5332,-0.1597,-0.0403,,EV baixo,under,,0,-1.06,0.722,neutral,under bloqueado,SUP Karma -2.8 | MID Mel -2.23 | JUNGLE Xin Zhao -1.64 | TOP Gnar -1.34 | ADC Corki -0.93
