"league","date","patch","game","actualKills","prePrediction","preAbsError","preLine245Side","preLine245Hit","postPrediction","postAbsError","postLine245Side","postLine245Hit","teamAPicks","teamBPicks"
"LPL","2026-05-23","16.10","LNG Esports vs Team WE","17","27,39","10,39","OVER","False","27,45","10,45","OVER","False","Ambessa|Jayce|Galio|Jinx|Lulu","Aatrox|Poppy|Smolder|Ashe|Seraphine"
"LPL","2026-05-23","16.10","LNG Esports vs Team WE","24","27,39","3,39","OVER","False","27,34","3,34","OVER","False","Yorick|Maokai|Tristana|Miss Fortune|Karma","Ornn|Naafiri|Ahri|Caitlyn|Lux"
"CBLOL","2026-05-25","16.10","Los Grandes vs LOUD","22","27,53","5,53","OVER","False","27,93","5,93","OVER","False","KSante|Jarvan IV|Ryze|Ezreal|Anivia","Rumble|Aatrox|Orianna|Jhin|Neeko"
"CBLOL","2026-05-25","16.10","Los Grandes vs LOUD","28","27,53","0,47","OVER","True","27,03","0,97","OVER","True","Twisted Fate|Trundle|Cassiopeia|Lucian|Milio","Sion|Qiyana|Akali|Caitlyn|Bard"
"CBLOL","2026-05-24","16.10","FURIA vs RED Canids","21","28,62","7,62","OVER","False","28,40","7,40","OVER","False","Ambessa|Trundle|Annie|Xayah|Rakan","Gnar|Naafiri|Akali|Sivir|Alistar"
"CBLOL","2026-05-24","16.10","FURIA vs RED Canids","25","28,62","3,62","OVER","True","28,42","3,42","OVER","True","Sion|Lee Sin|Twisted Fate|Ashe|Lulu","Renekton|Aatrox|Cassiopeia|Senna|Seraphine"
"CBLOL","2026-05-24","16.10","FURIA vs RED Canids","24","28,62","4,62","OVER","False","29,17","5,17","OVER","False","Ornn|Xin Zhao|Galio|Ezreal|Bard","Rumble|Nocturne|Orianna|Varus|Neeko"
"CBLOL","2026-05-23","16.10","Los Grandes vs Vivo Keyd Stars","29","28,28","0,72","OVER","True","28,11","0,89","OVER","True","Sylas|RekSai|Ryze|Caitlyn|Anivia","Gnar|Jarvan IV|Syndra|Jhin|Karma"
"CBLOL","2026-05-23","16.10","Los Grandes vs Vivo Keyd Stars","29","28,28","0,72","OVER","True","28,09","0,91","OVER","True","Aatrox|Vi|Taliyah|Lucian|Milio","Sion|Xin Zhao|Viktor|Zeri|Lulu"
"CBLOL","2026-05-23","16.10","Los Grandes vs Vivo Keyd Stars","32","28,28","3,72","OVER","True","28,54","3,46","OVER","True","Rumble|Pantheon|Cassiopeia|Ezreal|Rakan","KSante|Naafiri|Orianna|Kaisa|Neeko"
"CBLOL","2026-05-17","16.10","FURIA vs LOUD","26","27,15","1,15","OVER","True","26,77","0,77","OVER","True","Sion|RekSai|Cassiopeia|Yunara|Lulu","Gnar|Qiyana|Zoe|Corki|Nami"
"CBLOL","2026-05-17","16.10","FURIA vs LOUD","23","27,15","4,15","OVER","False","26,79","3,79","OVER","False","Ambessa|Skarner|Ryze|Lucian|Milio","KSante|Lee Sin|Annie|Caitlyn|Karma"
"CBLOL","2026-05-17","16.10","LOUD vs FURIA","26","27,15","1,15","OVER","True","27,34","1,34","OVER","True","Rumble|Vi|Aurora|Ashe|Seraphine","Ornn|Olaf|Orianna|Ezreal|Bard"
"CBLOL","2026-05-16","16.10","RED Canids vs Fluxo W7M","25","28,49","3,49","OVER","True","28,41","3,41","OVER","True","Anivia|Dr. Mundo|Azir|Zeri|Alistar","Vayne|Nocturne|Orianna|Sivir|Milio"
"CBLOL","2026-05-16","16.10","RED Canids vs Fluxo W7M","18","28,49","10,49","OVER","False","28,76","10,76","OVER","False","Jayce|RekSai|Sylas|Jhin|Rakan","Renekton|Xin Zhao|Ahri|Smolder|Karma"
"CBLOL","2026-05-16","16.10","Fluxo W7M vs RED Canids","24","28,49","4,49","OVER","False","28,38","4,38","OVER","False","Sion|Skarner|Tristana|Ashe|Lulu","Gwen|Pantheon|Taliyah|Senna|Seraphine"
"CBLOL","2026-05-16","16.10","Fluxo W7M vs RED Canids","40","28,49","11,51","OVER","True","28,45","11,55","OVER","True","Yorick|Jarvan IV|Ryze|Ezreal|Neeko","Gnar|Vi|Zoe|Caitlyn|Bard"
"LEC","2026-05-25","16.10","G2 Esports vs Movistar KOI","31","28,22","2,78","OVER","True","27,99","3,01","OVER","True","Malphite|Pantheon|Sylas|Jinx|Soraka","Gnar|Zaahen|Azir|Senna|Alistar"
"LEC","2026-05-25","16.10","G2 Esports vs Movistar KOI","38","28,22","9,78","OVER","True","28,22","9,78","OVER","True","Twisted Fate|Naafiri|Aurora|Ashe|Bard","Rumble|Lee Sin|Akali|Miss Fortune|Seraphine"
"LEC","2026-05-25","16.10","Movistar KOI vs G2 Esports","26","28,22","2,22","OVER","True","28,20","2,20","OVER","True","Sion|Vi|Ahri|Zeri|Neeko","Kled|Xin Zhao|Viktor|Xayah|Rakan"
