league,date,game,actual,preLine,delta,confidence,signal,deviation
LEC,2026-05-03,Team Heretics vs Shifters,28,29.5,-0.31,0.86,NEUTRO,-1.5
LEC,2026-05-03,Natus Vincere vs G2 Esports,25,29.5,-1.26,0.886,NEUTRO,-4.5
LEC,2026-05-03,G2 Esports vs Natus Vincere,41,28.5,-0.79,0.861,NEUTRO,12.5
LEC,2026-05-04,Team Vitality vs Fnatic,35,28.5,-1.22,0.873,NEUTRO,6.5
LEC,2026-05-04,Fnatic vs Team Vitality,33,28.5,-1.98,0.855,NEUTRO,4.5
LEC,2026-05-04,Team Vitality vs Fnatic,25,29.5,-1.43,0.825,NEUTRO,-4.5
LEC,2026-05-04,Movistar KOI vs Shifters,27,29.5,-1.09,0.835,NEUTRO,-2.5
LEC,2026-05-04,Movistar KOI vs Shifters,27,29.5,-1.76,0.852,NEUTRO,-2.5
LEC,2026-05-04,Movistar KOI vs Shifters,48,28.5,-0.05,0.819,NEUTRO,19.5
LEC,2026-05-08,G2 Esports vs Karmine Corp,16,29.5,-2.58,0.875,NEUTRO,-13.5
LEC,2026-05-08,G2 Esports vs Karmine Corp,35,28.5,-1.39,0.86,NEUTRO,6.5
LEC,2026-05-08,Movistar KOI vs GIANTX,31,28.5,-0.87,0.878,NEUTRO,2.5
LEC,2026-05-08,Movistar KOI vs GIANTX,39,28.5,-1.15,0.811,NEUTRO,10.5
LEC,2026-05-09,GIANTX vs G2 Esports,16,30.5,-2.51,0.873,NEUTRO,-14.5
LEC,2026-05-09,G2 Esports vs GIANTX,22,28.5,-0.35,0.855,NEUTRO,-6.5
LEC,2026-05-09,Karmine Corp vs Movistar KOI,46,29.5,-1.03,0.874,NEUTRO,16.5
LEC,2026-05-09,Karmine Corp vs Movistar KOI,26,32.5,-0.47,0.886,NEUTRO,-6.5
LEC,2026-05-09,Movistar KOI vs Karmine Corp,33,31.5,-1.24,0.837,NEUTRO,1.5
LEC,2026-05-10,GIANTX vs Karmine Corp,19,29.5,0.05,0.854,NEUTRO,-10.5
LEC,2026-05-10,Karmine Corp vs GIANTX,40,28.5,-1.64,0.885,NEUTRO,11.5
LEC,2026-05-10,Karmine Corp vs GIANTX,32,29.5,-1.29,0.84,NEUTRO,2.5
LEC,2026-05-10,G2 Esports vs Movistar KOI,27,29.5,-1.75,0.907,NEUTRO,-2.5
LEC,2026-05-10,Movistar KOI vs G2 Esports,32,29.5,-0.73,0.841,NEUTRO,2.5
LEC,2026-05-10,G2 Esports vs Movistar KOI,44,30.5,-1.28,0.827,NEUTRO,13.5
LEC,2026-05-23,G2 Esports vs Karmine Corp,38,31.5,-1.24,0.847,NEUTRO,6.5
LEC,2026-05-23,G2 Esports vs Karmine Corp,12,33.5,-1.33,0.868,NEUTRO,-21.5
LEC,2026-05-23,G2 Esports vs Karmine Corp,36,31.5,-1.62,0.878,NEUTRO,4.5
LEC,2026-05-23,G2 Esports vs Karmine Corp,33,31.5,-1.19,0.821,NEUTRO,1.5
LEC,2026-05-24,Movistar KOI vs Team Vitality,18,31.5,-1.95,0.877,NEUTRO,-13.5
LEC,2026-05-24,Movistar KOI vs Team Vitality,25,31.5,-0.51,0.866,NEUTRO,-6.5
LEC,2026-05-24,Movistar KOI vs Team Vitality,17,30.5,0.13,0.76,NEUTRO,-13.5
LEC,2026-05-25,Movistar KOI vs G2 Esports,27,29.5,0.46,0.825,NEUTRO,-2.5
LEC,2026-05-25,Movistar KOI vs G2 Esports,35,29.5,-0.58,0.867,NEUTRO,5.5
LEC,2026-05-25,Movistar KOI vs G2 Esports,26,30.5,-0.25,0.866,NEUTRO,-4.5
LEC,2026-05-25,G2 Esports vs Movistar KOI,38,29.5,0.15,0.839,NEUTRO,8.5
LEC,2026-05-25,G2 Esports vs Movistar KOI,31,29.5,-0.88,0.832,NEUTRO,1.5
LCS,2026-04-26,Team Liquid vs Sentinels,30,25.5,-0.45,0.711,NEUTRO,4.5
LCS,2026-04-26,Team Liquid vs Sentinels,23,26.5,-0.07,0.757,NEUTRO,-3.5
LCS,2026-05-02,Dignitas vs Cloud9,19,26.5,-0.42,0.765,NEUTRO,-7.5
LCS,2026-05-02,Cloud9 vs Dignitas,26,25.5,-0.11,0.738,NEUTRO,0.5
LCS,2026-05-02,Dignitas vs Cloud9,33,25.5,0.51,0.751,NEUTRO,7.5
LCS,2026-05-02,Disguised vs Team Liquid,20,25.5,-0.34,0.787,NEUTRO,-5.5
LCS,2026-05-02,Team Liquid vs Disguised,29,25.5,0.17,0.693,NEUTRO,3.5
LCS,2026-05-03,LYON vs Sentinels,22,25.5,0.08,0.779,NEUTRO,-3.5
LCS,2026-05-03,LYON vs Sentinels,40,25.5,-0.12,0.803,NEUTRO,14.5
LCS,2026-05-03,Shopify Rebellion vs FlyQuest,28,27.5,0.26,0.746,NEUTRO,0.5
LCS,2026-05-03,Shopify Rebellion vs FlyQuest,35,27.5,-0.77,0.798,NEUTRO,7.5
LCS,2026-05-03,Shopify Rebellion vs FlyQuest,22,27.5,-0.44,0.737,NEUTRO,-5.5
LCS,2026-05-09,Shopify Rebellion vs Sentinels,19,26.5,-0.17,0.79,NEUTRO,-7.5
LCS,2026-05-09,Shopify Rebellion vs Sentinels,21,26.5,-0.25,0.78,NEUTRO,-5.5
LCS,2026-05-09,Dignitas vs Disguised,13,25.5,-0.53,0.817,NEUTRO,-12.5
LCS,2026-05-09,Disguised vs Dignitas,36,24.5,0.41,0.779,NEUTRO,11.5
LCS,2026-05-10,FlyQuest vs Cloud9,26,25.5,-0.04,0.765,NEUTRO,0.5
LCS,2026-05-10,FlyQuest vs Cloud9,37,26.5,0.05,0.799,NEUTRO,10.5
LCS,2026-05-10,Cloud9 vs FlyQuest,20,27.5,-0.35,0.764,NEUTRO,-7.5
LCS,2026-05-10,Team Liquid vs LYON,25,26.5,-0.63,0.773,NEUTRO,-1.5
LCS,2026-05-10,LYON vs Team Liquid,29,25.5,-0.53,0.741,NEUTRO,3.5
LCS,2026-05-10,Team Liquid vs LYON,32,26.5,-0.33,0.74,NEUTRO,5.5
LCS,2026-05-16,Cloud9 vs Team Liquid,28,26.5,-0.04,0.797,NEUTRO,1.5
LCS,2026-05-16,Cloud9 vs Team Liquid,26,27.5,-0.55,0.819,NEUTRO,-1.5
LCS,2026-05-16,Shopify Rebellion vs Disguised,33,26.5,-0.37,0.784,NEUTRO,6.5
LCS,2026-05-16,Shopify Rebellion vs Disguised,35,26.5,-0.49,0.799,NEUTRO,8.5
LCS,2026-05-17,Dignitas vs Sentinels,10,26.5,-0.83,0.776,NEUTRO,-16.5
LCS,2026-05-17,Sentinels vs Dignitas,26,25.5,0.05,0.774,NEUTRO,0.5
LCS,2026-05-17,LYON vs FlyQuest,39,27.5,0.03,0.741,NEUTRO,11.5
LCS,2026-05-17,FlyQuest vs LYON,16,28.5,-0.89,0.803,NEUTRO,-12.5
LCS,2026-05-17,LYON vs FlyQuest,29,28.5,-0.23,0.783,NEUTRO,0.5
LCS,2026-05-23,FlyQuest vs Cloud9,13,27.5,-0.49,0.824,NEUTRO,-14.5
LCS,2026-05-23,Cloud9 vs FlyQuest,22,26.5,-0.19,0.803,NEUTRO,-4.5
LCS,2026-05-23,Cloud9 vs FlyQuest,17,25.5,0.79,0.667,NEUTRO,-8.5
LCS,2026-05-23,FlyQuest vs Cloud9,28,24.5,1.08,0.809,NEUTRO,3.5
LCS,2026-05-23,FlyQuest vs Cloud9,27,25.5,0.68,0.684,NEUTRO,1.5
LCS,2026-05-24,Team Liquid vs LYON,13,26.5,0.9,0.792,NEUTRO,-13.5
LCS,2026-05-24,Team Liquid vs LYON,26,24.5,0.92,0.78,NEUTRO,1.5
LCS,2026-05-24,LYON vs Team Liquid,35,24.5,0.06,0.695,NEUTRO,10.5
LCS,2026-05-24,LYON vs Team Liquid,13,25.5,0.02,0.801,NEUTRO,-12.5
LCS,2026-05-24,Team Liquid vs LYON,14,23.5,0.69,0.669,NEUTRO,-9.5
