league,date,patch,game,actualKills,preExpected,preSignedError,preAbsError,preWithin3,postExpected,postSignedError,postAbsError,postWithin3,postImproved,teamAPicks,teamBPicks
LCK,2026-05-24,16.10,T1 vs HANJIN BRION,29,29.81,0.81,0.81,true,29.21,0.21,0.21,true,true,Yorick|Xin Zhao|Anivia|Ashe|Seraphine,Jayce|Jarvan IV|Aurora|Lucian|Milio
LCK,2026-05-24,16.10,T1 vs HANJIN BRION,18,29.81,11.81,11.81,false,30,12,12,false,false,Sion|Naafiri|Twisted Fate|Caitlyn|Lux,Rumble|Lee Sin|Ryze|Jhin|Pyke
LCK,2026-05-24,16.10,Gen.G vs DN SOOPers,20,28.84,8.84,8.84,false,28.8,8.8,8.8,false,true,Vayne|Maokai|Annie|Lucian|Milio,Sion|Wukong|Akali|Corki|Nami
LCK,2026-05-24,16.10,Gen.G vs DN SOOPers,25,28.84,3.84,3.84,false,28.65,3.65,3.65,false,true,Ambessa|Skarner|Anivia|Caitlyn|Bard,Rumble|Lee Sin|Ryze|Ashe|Seraphine
LCK,2026-05-23,16.10,Hanwha Life Esports vs Nongshim RedForce,36,31.31,-4.69,4.69,false,31.1,-4.9,4.9,false,false,Gnar|Lee Sin|Ryze|Corki|Nami,Renekton|Jarvan IV|Twisted Fate|Yunara|Lulu
LCK,2026-05-23,16.10,Nongshim RedForce vs Hanwha Life Esports,54,31.31,-22.69,22.69,false,31.15,-22.85,22.85,false,false,Ambessa|Pantheon|Ahri|Ashe|Nautilus,Sion|Vi|Aurora|Ziggs|Pyke
LCK,2026-05-23,16.10,Hanwha Life Esports vs Nongshim RedForce,43,31.31,-11.69,11.69,false,31.19,-11.81,11.81,false,false,Yorick|Xin Zhao|Akali|Jhin|Bard,Rumble|Wukong|Annie|Lucian|Milio
LCK,2026-05-23,16.10,Dplus KIA vs BNK FearX,24,27.22,3.22,3.22,false,27.4,3.4,3.4,false,false,Jayce|Skarner|Viktor|Jhin|Poppy,Yorick|Pantheon|Taliyah|Miss Fortune|Alistar
LCK,2026-05-23,16.10,BNK FearX vs Dplus KIA,37,27.22,-9.78,9.78,false,26.85,-10.15,10.15,false,false,Ambessa|Lee Sin|Ahri|Ashe|Lulu,Rumble|Xin Zhao|LeBlanc|Ezreal|Seraphine
LCK,2026-05-23,16.10,Dplus KIA vs BNK FearX,16,27.22,11.22,11.22,false,27.1,11.1,11.1,false,true,Gnar|Jarvan IV|Ryze|Caitlyn|Karma,Sion|Naafiri|Orianna|Lucian|Milio
LCK,2026-05-22,16.10,KT Rolster vs Gen.G,28,29.83,1.83,1.83,true,29.79,1.79,1.79,true,true,Jayce|Trundle|Cassiopeia|Corki|Nautilus,Vayne|Nocturne|Galio|Ashe|Seraphine
LCK,2026-05-22,16.10,KT Rolster vs Gen.G,17,29.83,12.83,12.83,false,30.01,13.01,13.01,false,false,Ambessa|Pantheon|Anivia|Ezreal|Nami,Sion|Naafiri|Ryze|Jhin|Karma
LCK,2026-05-22,16.10,Kiwoom DRX vs DN SOOPers,28,29.33,1.33,1.33,true,29.59,1.59,1.59,true,false,Gnar|Pantheon|Viktor|Ezreal|Karma,Ambessa|Lee Sin|Ahri|Sivir|Nautilus
LCK,2026-05-22,16.10,DN SOOPers vs Kiwoom DRX,22,29.33,7.33,7.33,false,29.39,7.39,7.39,false,false,Rumble|Skarner|Yone|Lucian|Milio,KSante|Xin Zhao|Cassiopeia|Miss Fortune|Bard
LCK,2026-05-21,16.10,HANJIN BRION vs Dplus KIA,20,27.03,7.03,7.03,false,27.37,7.37,7.37,false,false,Renekton|Naafiri|Annie|Jhin|Neeko,Illaoi|Wukong|Taliyah|Yunara|Karma
LPL,2026-05-24,16.10,Weibo Gaming vs LGD Gaming,21,26.47,5.47,5.47,false,26.44,5.44,5.44,false,true,Ambessa|Sylas|Malphite|Kalista|Renata Glasc,Zaahen|Maokai|Vayne|Draven|Thresh
LPL,2026-05-24,16.10,Weibo Gaming vs LGD Gaming,22,26.47,4.47,4.47,false,26.42,4.42,4.42,false,true,Jax|RekSai|Twisted Fate|Ziggs|Camille,Poppy|Lee Sin|Anivia|Caitlyn|Elise
LPL,2026-05-24,16.10,LGD Gaming vs Weibo Gaming,30,26.46,-3.54,3.54,false,26.53,-3.47,3.47,false,true,Yorick|Jayce|Galio|Miss Fortune|Nautilus,KSante|Xin Zhao|Aurora|Ezreal|Bard
LPL,2026-05-24,16.10,Weibo Gaming vs LGD Gaming,15,26.47,11.47,11.47,false,26.3,11.3,11.3,false,true,Sion|Vi|Ahri|Yunara|Lulu,Rumble|Trundle|Ryze|Corki|Nami
LPL,2026-05-24,16.10,LGD Gaming vs Weibo Gaming,15,26.46,11.46,11.46,false,26.09,11.09,11.09,false,true,Gnar|Naafiri|Akali|Ashe|Seraphine,Renekton|Jarvan IV|Annie|Lucian|Milio
LPL,2026-05-24,16.10,Ninjas in Pyjamas vs EDward Gaming,27,26.31,-0.69,0.69,true,26.33,-0.67,0.67,true,true,Ambessa|Shyvana|Ahri|Aphelios|Thresh,KSante|Maokai|Mel|Zeri|Yuumi
LPL,2026-05-24,16.10,EDward Gaming vs Ninjas in Pyjamas,32,26.31,-5.69,5.69,false,26.46,-5.54,5.54,false,true,Vayne|Pantheon|Rumble|Ziggs|Leona,Ornn|Naafiri|Taliyah|Caitlyn|Lux
LPL,2026-05-24,16.10,Ninjas in Pyjamas vs EDward Gaming,32,26.31,-5.69,5.69,false,26.53,-5.47,5.47,false,true,Zaahen|Wukong|Aurora|Jhin|Nautilus,Renekton|Trundle|Viktor|Varus|Karma
LPL,2026-05-24,16.10,EDward Gaming vs Ninjas in Pyjamas,37,26.31,-10.69,10.69,false,26.34,-10.66,10.66,false,true,Tristana|Jarvan IV|Orianna|Ezreal|Bard,Gnar|Vi|Ryze|Corki|Nami
LPL,2026-05-24,16.10,EDward Gaming vs Ninjas in Pyjamas,14,26.31,12.31,12.31,false,26.06,12.06,12.06,false,true,Sion|Lee Sin|Annie|Ashe|Seraphine,Jayce|Skarner|Cassiopeia|Lucian|Milio
LPL,2026-05-23,16.10,Invictus Gaming vs ThunderTalk Gaming,26,29.36,3.36,3.36,false,29.25,3.25,3.25,false,true,Varus|Trundle|Taliyah|Yunara|Lulu,Ambessa|Wukong|Annie|Jhin|Seraphine
LPL,2026-05-23,16.10,ThunderTalk Gaming vs Invictus Gaming,33,29.36,-3.64,3.64,false,29.46,-3.54,3.54,false,true,Jayce|Xin Zhao|Akali|Senna|Nautilus,Sion|Jarvan IV|Cassiopeia|Ashe|Braum
