league,date,patch,game,actualKills,preExpected,preSignedError,preAbsError,postExpected,postSignedError,postAbsError,postImproved,leagueCorrection,teamAAdjustment,teamBAdjustment,draftAdjustment,trainGames
LEC,2026-05-24,16.10,Movistar KOI vs Team Vitality,25,31.09,6.09,6.09,30.58,5.58,5.58,true,1.91,0.32,-0.68,-0.51,221
LEC,2026-05-24,16.10,Movistar KOI vs Team Vitality,17,30.88,13.88,13.88,31.01,14.01,14.01,false,2.13,0.28,-0.65,0.13,222
LEC,2026-05-25,16.10,Movistar KOI vs G2 Esports,27,28.54,1.54,1.54,29,2,2,false,0.1,0.24,0.18,0.46,223
LEC,2026-05-25,16.10,Movistar KOI vs G2 Esports,35,28.64,-6.36,6.36,28.06,-6.94,6.94,false,0.35,0.18,0.18,-0.58,224
LEC,2026-05-25,16.10,Movistar KOI vs G2 Esports,26,29.38,3.38,3.38,29.13,3.13,3.13,true,0.42,0.18,0.22,-0.25,225
LEC,2026-05-25,16.10,G2 Esports vs Movistar KOI,38,29.72,-8.28,8.28,29.86,-8.14,8.14,true,1.05,0.2,0.15,0.15,226
LEC,2026-05-25,16.10,G2 Esports vs Movistar KOI,31,30.22,-0.78,0.78,29.34,-1.66,1.66,false,0.67,0.22,0.17,-0.88,227
LCS,2026-05-17,16.10,Dignitas vs Sentinels,10,27.09,17.09,17.09,26.26,16.26,16.26,true,0.02,-0.31,-0.73,-0.83,123
LCS,2026-05-17,16.10,Sentinels vs Dignitas,26,25.08,-0.92,0.92,25.13,-0.87,0.87,true,-0.34,-0.69,-0.34,0.05,124
LCS,2026-05-17,16.10,LYON vs FlyQuest,39,27.14,-11.86,11.86,27.17,-11.83,11.83,true,0.24,0.16,0.34,0.03,125
LCS,2026-05-17,16.10,FlyQuest vs LYON,16,29.36,13.36,13.36,28.46,12.46,12.46,true,1.26,0.36,0.2,-0.89,126
LCS,2026-05-17,16.10,LYON vs FlyQuest,29,28.68,-0.32,0.32,28.45,-0.55,0.55,false,1.72,0.18,0.28,-0.23,127
LCS,2026-05-23,16.10,FlyQuest vs Cloud9,13,27.99,14.99,14.99,27.5,14.5,14.5,true,1.09,0.28,-0.1,-0.49,128
LCS,2026-05-23,16.10,Cloud9 vs FlyQuest,22,26.04,4.04,4.04,25.85,3.85,3.85,true,0.45,-0.13,0.23,-0.19,129
LCS,2026-05-23,16.10,Cloud9 vs FlyQuest,17,24.64,7.64,7.64,25.43,8.43,8.43,false,-0.61,-0.12,0.18,0.79,130
LCS,2026-05-23,16.10,FlyQuest vs Cloud9,28,23.89,-4.11,4.11,24.97,-3.03,3.03,true,-0.59,0.13,-0.13,1.08,131
LCS,2026-05-23,16.10,FlyQuest vs Cloud9,27,24.33,-2.67,2.67,25.01,-1.99,1.99,true,-0.48,0.12,-0.11,0.68,132
LCS,2026-05-24,16.10,Team Liquid vs LYON,13,25.1,12.1,12.1,26,13,13,false,-0.73,0.29,0.53,0.9,133
LCS,2026-05-24,16.10,Team Liquid vs LYON,26,22.76,-3.24,3.24,23.68,-2.32,2.32,true,-1.87,0.23,0.44,0.92,134
LCS,2026-05-24,16.10,LYON vs Team Liquid,35,22.75,-12.25,12.25,22.81,-12.19,12.19,true,-2.01,0.4,0.21,0.06,135
LCS,2026-05-24,16.10,LYON vs Team Liquid,13,24.21,11.21,11.21,24.23,11.23,11.23,false,-1.54,0.4,0.24,0.02,136
LCS,2026-05-24,16.10,Team Liquid vs LYON,14,21.84,7.84,7.84,22.53,8.53,8.53,false,-2.71,0.18,0.31,0.69,137
