league,date,game,actual,preLine,postLine,draftDelta,draftSignal,deviation,absDeviation,isOverLine,draftConfidence,topPickEffects
LCK,2026-05-15,Hanwha Life Esports vs Dplus KIA,40,29.5,28.5,-0.59,NEUTRO,10.5,10.5,true,0.823,MID Orianna -2.16 | SUP Karma -2.05 | JUNGLE Lee Sin +1.96 | ADC Ashe -1.47 | SUP Seraphine -1.45
LCK,2026-05-15,Hanwha Life Esports vs Dplus KIA,23,29.5,29.5,-0.16,NEUTRO,-6.5,6.5,false,0.839,JUNGLE Xin Zhao -1.75 | JUNGLE Nocturne +1.43 | SUP Lulu -0.82 | SUP Nami -0.75 | TOP Jayce -0.69
LCK,2026-05-15,HANJIN BRION vs DN SOOPers,29,28.5,28.5,-0.58,NEUTRO,0.5,0.5,true,0.859,JUNGLE Lee Sin +2.09 | SUP Karma -1.81 | TOP Sion +1.39 | ADC Ashe -1.37 | SUP Seraphine -1.37
LCK,2026-05-15,DN SOOPers vs HANJIN BRION,22,28.5,28.5,0.36,NEUTRO,-6.5,6.5,false,0.836,JUNGLE Vi +1.65 | JUNGLE Xin Zhao -1.52 | MID Akali +1.04 | SUP Neeko +0.86 | SUP Nami -0.79
LCK,2026-05-16,Gen.G vs T1,33,28.5,27.5,-0.91,UNDER,4.5,4.5,true,0.848,JUNGLE Xin Zhao -1.28 | JUNGLE Skarner -1.14 | SUP Seraphine -1.04 | ADC Ashe -1.04 | ADC Ezreal -0.44
LCK,2026-05-16,T1 vs Gen.G,48,28.5,29.5,0.52,NEUTRO,19.5,19.5,true,0.803,JUNGLE Lee Sin +2.15 | SUP Karma -1.65 | TOP Sion +1.46 | SUP Lux +1.03 | MID Anivia +0.75
LCK,2026-05-16,T1 vs Gen.G,46,30.5,29.5,-0.58,NEUTRO,15.5,15.5,true,0.817,JUNGLE Pantheon -2.08 | MID Taliyah -1.44 | TOP Jayce -1.16 | ADC Corki -0.97 | JUNGLE Vi +0.85
LCK,2026-05-16,BNK FearX vs Nongshim RedForce,34,31.5,29.5,-1.96,UNDER,2.5,2.5,true,0.875,JUNGLE Pantheon -2.42 | JUNGLE Jarvan IV -2.32 | SUP Karma -2.32 | MID Ryze -2.21 | ADC Ezreal -1.98
LCK,2026-05-16,BNK FearX vs Nongshim RedForce,26,31.5,30.5,-0.97,UNDER,-5.5,5.5,false,0.797,TOP Gnar -2.27 | SUP Lulu -1.96 | MID Galio -1.45 | SUP Milio -1.36 | ADC Yunara -1.21
LCK,2026-05-17,KT Rolster vs Hanwha Life Esports,38,31.5,30.5,-0.87,UNDER,6.5,6.5,true,0.833,JUNGLE Pantheon -2.14 | JUNGLE Jarvan IV -2.05 | SUP Karma -2.02 | ADC Miss Fortune -1.09 | TOP Zaahen -0.84
LCK,2026-05-17,KT Rolster vs Hanwha Life Esports,30,33.5,32.5,-0.68,NEUTRO,-3.5,3.5,false,0.84,SUP Seraphine -2.65 | ADC Ashe -2.59 | MID Ryze -2.19 | TOP Jayce -1.52 | JUNGLE Lee Sin +1.46
